,Duration,DateEncoded,Month,ActivityEncoded,TypeEncoded
Duration,1.0,0.08339694951143198,-0.02068610401149945,-0.06440273017351884,0.0005180725714526541
DateEncoded,0.08339694951143198,1.0,-0.0465979986962895,-0.08243850903982684,-0.01960644786607418
Month,-0.02068610401149945,-0.0465979986962895,1.0,0.007510089954216246,0.07100803864429171
ActivityEncoded,-0.06440273017351884,-0.08243850903982684,0.007510089954216246,1.0,0.639240563175301
TypeEncoded,0.0005180725714526541,-0.01960644786607418,0.07100803864429171,0.639240563175301,1.0
